K_share,D_share,AI_share,H_share,K,D,AI,H,gdp_gain,inclusion,green_score,data_security,risk_index
0.10000013198063569,0.13822483399092206,0.6213872109828794,0.14038782304556285,8000.010558450856,11057.986719273764,49710.976878630354,11231.025843645028,95727.1180869987,44671.815183475315,48768.79130239719,53196.07365766163,0.28212230505951263
0.10000008342380759,0.10522847985527038,0.6213872109828794,0.17338422573804269,8000.006673904607,8418.278388421631,49710.976878630354,13870.738059043415,95542.3393972847,45938.878406457734,48663.20425106337,53090.4861013368,0.2689237468959304
0.10000148643679023,0.10228347757108477,0.6125691890808501,0.1851458469112749,8000.118914943218,8182.678205686782,49005.53512646801,14811.66775290199,95264.80812075429,46588.00906575179,48815.99480720856,52968.168965473706,0.2624554098654527
0.1000221165313247,0.13789791235042687,0.6046231845874721,0.15745678653077633,8001.769322505976,11031.83298803415,48369.85476699777,12596.542922462106,95228.66762877519,45702.16200514534,49075.62284668491,52980.09621773982,0.2719405953133044
0.10000201339356585,0.10931573706793868,0.594901822999101,0.19578042653939454,8000.161071485268,8745.258965435094,47592.14583992808,15662.434123151563,94781.22504191224,47392.11116891305,49163.563661843815,52764.52147870885,0.25466807318044843
0.10000207746806489,0.1648344370242432,0.5749378245833783,0.16022566092431367,8000.166197445191,13186.754961939456,45995.02596667026,12818.052873945095,94501.19422959138,46473.99993972015,49708.55938098651,52686.64111365579,0.2648971758988663
0.10000207745921255,0.23053477501432307,0.5532504190574058,0.11621272846905861,8000.166196737004,18442.782001145846,44260.033524592465,9297.018277524689,94227.16891892992,45269.70121746801,50317.848724466356,52619.28340463323,0.27816486777630495
0.10000034228485544,0.10321163236116765,0.5685551346854447,0.22823289066853225,8000.027382788435,8256.930588893412,45484.410774835575,18258.63125348258,93967.21082987037,49228.49840074172,49628.85370902337,52407.77747097175,0.2364178501325847
0.10000207746806489,0.1648344370242432,0.5532504190574058,0.18191306645028615,8000.166197445191,13186.754961939456,44260.033524592465,14553.045316022892,93859.2470260226,47792.594195699276,50107.60764266441,52409.042322923335,0.25188473258328276
0.10008729020816837,0.19590593627576997,0.5383484252885815,0.16565834822748016,8006.98321665347,15672.474902061596,43067.87402308652,13252.667858198412,93590.58049185605,47499.831719642294,50478.98350927691,52316.36219644562,0.25540110835423413
0.10000148643679023,0.10001347660790619,0.5441068571092782,0.25587817984602546,8000.118914943218,8001.0781286324955,43528.548568742255,20470.25438768204,93225.61108900198,50837.686886609416,50068.43771240333,52084.587113155416,0.220470010297238
0.10001018720757554,0.23547112519011626,0.5128233232920681,0.1516953643102401,8000.814976606043,18837.6900152093,41025.86586336545,12135.62914481921,93058.02122589048,47537.57430595878,51077.28950975432,52117.483143425634,0.25588590770186304
0.10001018720757554,0.22041521634073358,0.5128233232920681,0.1667512731596228,8000.814976606043,17633.217307258685,41025.86586336545,13340.101852769823,92973.70813633394,48115.72120577507,51029.1106014363,52069.30423510761,0.24986354416210999
0.10000809131551786,0.11814824064197477,0.5274535969427471,0.2543900710997603,8000.6473052414285,9451.85925135798,42196.28775541976,20351.205687980826,92834.10773689485,51153.39160187876,50432.7145755781,51929.350949873195,0.21773420546971417
0.10000000839065637,0.1441655322729723,0.5165918673981089,0.23924259193826236,8000.000671252509,11533.242581837783,41327.349391848715,19139.40735506099,92658.4461013246,50815.25746577325,50716.03912163498,51873.7054717188,0.22162133620087743
0.10008640030958589,0.12832373822117818,0.5160822875794391,0.25550757388979684,8006.912024766872,10265.899057694254,41286.583006355126,20440.605911183746,92553.05888069361,51448.82838692036,50672.44090267303,51815.10683837121,0.21500824394139392
0.10000066729934538,0.10094249179200453,0.5157529275666548,0.28330391334199523,8000.05338394763,8075.399343360362,41260.23420533238,22664.313067359617,92391.55233170025,52525.98601045787,50593.14448980524,51724.64276979806,0.20382898013857212
